"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6"
"ACO2",2.22656389160243e-05,3.09132771288737e-07,1.91110020509927e-07,5.97713546446991e-06,1.17541597527812e-05,3.52741165872761e-05
"ACOT11",6.86719179199487e-05,3.98781274962471e-05,5.63774560504286e-05,3.65269389495384e-05,2.06252237171444e-05,0.000109084695804582
"ACOT12",6.3281289550806e-06,3.09132771288737e-07,9.55550102549637e-07,2.2137538757296e-07,6.65329797327237e-07,6.11689883016349e-07
"ACOT13",1.24218827636767e-05,7.72831928221844e-06,2.12132122766019e-05,2.87788003844848e-06,2.21776599109079e-07,1.28454875433433e-05
"ACOT2",2.34375146484467e-07,3.09132771288737e-07,1.91110020509927e-07,9.96189244078319e-06,1.55243619376355e-06,1.42727639370481e-06
"ACOT4",2.1093763183602e-06,3.09132771288737e-07,2.1022102256092e-06,1.1068769378648e-06,6.43152137416329e-06,2.03896627672116e-07
"ACOT6",2.34375146484467e-07,3.40046048417611e-06,4.01331043070848e-06,2.2137538757296e-07,2.21776599109079e-07,2.03896627672116e-07
"ACOT7",0.000127265704541065,8.74845742747127e-05,3.80308940814756e-05,8.56722749907354e-05,6.40934371425239e-05,2.18169391609164e-05
"ACOT8",3.1171894482434e-05,3.09132771288737e-07,3.63109038968862e-06,1.0847393991075e-05,1.88510109242717e-05,5.09741569180291e-06
"ACOT9",2.34375146484467e-07,5.87352265448601e-06,7.07107075886731e-06,1.1068769378648e-06,6.65329797327237e-07,8.35976173455677e-06
"ACOX1",4.28906518066574e-05,1.32927091654157e-05,1.91110020509927e-07,7.23897517363579e-05,5.54441497772698e-06,0.000136406843912646
"ACOX2",5.39062836914273e-06,9.27398313866212e-07,1.33777014356949e-06,1.54962771301072e-06,6.65329797327237e-07,3.46624267042598e-06
"ACOX3",3.21093950683719e-05,2.13301612189229e-05,5.92441063580775e-06,2.98856773223496e-05,3.77020218485434e-06,6.11689883016349e-07
"ACOXL",1.24218827636767e-05,3.09132771288737e-07,4.39553047172833e-06,2.2137538757296e-07,1.17541597527812e-05,7.13638196852407e-06
"ACP1",4.5234403271502e-05,6.08991559438813e-05,0.00010415496117791,0.000126848097079306,0.000120868246514448,0.000120502906954221
"ACP2",2.34375146484467e-07,1.63840368783031e-05,3.63109038968862e-06,2.2137538757296e-07,2.43954259019987e-06,1.12143145219664e-05
"ACP3",1.10156318847699e-05,1.54566385644369e-06,8.98217096396659e-06,2.43512926330256e-06,1.88510109242717e-05,2.24286290439328e-06
"ACP4",9.91406869629293e-05,1.08196469951058e-05,3.22975934661777e-05,1.61604032928261e-05,5.54441497772698e-06,9.58314150058947e-06
"ACP5",1.33593833496146e-05,5.87352265448601e-06,2.48443026662906e-06,6.64126162718879e-07,1.55243619376355e-06,1.48844538200645e-05
"ACP6",1.80468862793039e-05,6.49178819706349e-06,1.47154715792644e-05,2.43512926330256e-06,8.64928736525408e-06,2.42636986929818e-05
"ACR",2.34375146484467e-07,3.09132771288737e-07,1.71999018458935e-06,1.1068769378648e-06,2.21776599109079e-07,1.12143145219664e-05
"ACRBP",5.83594114746322e-05,2.13301612189229e-05,4.77775051274819e-06,1.12901447662209e-05,5.10086177950882e-06,5.64793658651762e-05
"ACRV1",3.8671899169937e-05,8.96485036737339e-06,2.86665030764891e-06,1.99237848815664e-06,1.04235001581267e-05,2.58948717143588e-05
"ACSBG1",2.97656436035273e-05,1.54566385644369e-06,2.42709726047608e-05,2.1916163369723e-05,1.48590321403083e-05,1.97779728841953e-05
