"","CDSeq_estimated_cell_type_1","CDSeq_estimated_cell_type_2","CDSeq_estimated_cell_type_3","CDSeq_estimated_cell_type_4","CDSeq_estimated_cell_type_5","CDSeq_estimated_cell_type_6"
"ACO2",6.58752270499492e-07,5.93806276640309e-06,3.4219821455995e-05,5.44935112443807e-06,4.06226921367364e-05,1.96518169676932e-07
"ACOT11",0.000163590147174041,3.77876721498378e-06,1.08501872909252e-05,5.99428623688187e-05,4.06226921367364e-05,1.1594572010939e-05
"ACOT12",1.97625681149848e-06,8.99706479758044e-07,8.34629791609634e-07,2.36928309758177e-07,2.14934879030351e-07,3.34080888450784e-06
"ACOT13",1.07596204181584e-05,8.81712350162883e-06,8.34629791609634e-07,3.4828461534452e-05,1.01019393144265e-05,1.96518169676932e-07
"ACOT2",2.19584090166497e-07,5.39823887854826e-07,6.95524826341361e-06,7.1078492927453e-07,3.65389294351597e-06,1.96518169676932e-07
"ACOT4",4.17209771316345e-06,5.39823887854826e-07,2.78209930536545e-07,3.55392464637265e-06,2.36428366933387e-06,3.34080888450784e-06
"ACOT6",5.05043407382944e-06,5.39823887854826e-07,2.78209930536545e-07,2.36928309758177e-07,1.07467439515176e-06,1.96518169676932e-07
"ACOT7",2.70088430904792e-05,9.77081237017236e-05,2.36478440956063e-05,1.18464154879088e-06,0.000279200407860426,3.34080888450784e-06
"ACOT8",2.26171612871492e-05,3.77876721498378e-06,3.06030923590199e-06,1.30310570366997e-05,4.08376270157668e-06,1.86692261193085e-05
"ACOT9",2.19584090166497e-07,1.61947166356448e-06,8.06808798555979e-06,1.30310570366997e-05,2.79415342739457e-06,2.55473620580012e-06
"ACOX1",7.13648293041117e-05,5.56018604490471e-05,2.78209930536545e-07,0.000147606336979344,2.14934879030351e-07,5.75798237153411e-05
"ACOX2",4.61126589349645e-06,1.61947166356448e-06,1.94746951375581e-06,4.02778126588901e-06,2.14934879030351e-07,5.89554509030796e-07
"ACOX3",1.99821522051513e-05,3.77876721498378e-06,8.98618075633039e-05,2.36928309758177e-07,1.13915485886086e-05,3.73384522386171e-06
"ACOXL",2.34954976478152e-05,5.21829758259665e-06,8.34629791609634e-07,2.60621140733994e-06,6.44804637091054e-07,5.89554509030796e-07
"ACP1",0.000272943024076956,0.000207472314232205,0.000191686642139679,1.65849816830724e-06,1.09616788305479e-05,7.27117227804648e-06
"ACP2",2.19584090166497e-07,3.41888462308057e-06,1.64143859016561e-05,7.1078492927453e-07,1.13915485886086e-05,1.96518169676932e-07
"ACP3",7.68544315582741e-06,1.79941295951609e-07,2.47606838177525e-05,1.11356305586343e-05,3.22402318545527e-06,1.96518169676932e-07
"ACP4",4.1062224861135e-05,1.38554797882739e-05,7.09435322868189e-05,4.00408843491319e-05,1.01019393144265e-05,4.12688156321557e-06
"ACP5",2.85459317216447e-06,1.25958907166126e-06,2.5038893748289e-06,1.18464154879088e-06,2.21382925401262e-05,2.94777254515398e-06
"ACP6",2.19584090166497e-07,3.77876721498378e-06,1.47451263184369e-05,3.19853218173539e-05,1.39707671369728e-05,2.25995895128472e-05
"ACR",2.85459317216447e-06,8.99706479758044e-07,2.78209930536545e-07,1.11356305586343e-05,2.14934879030351e-07,1.96518169676932e-07
"ACRBP",5.07239248284609e-05,1.25958907166126e-06,4.7017478260676e-05,9.24020408056889e-06,3.65389294351597e-06,2.84951346031551e-05
"ACRV1",2.65696749101462e-05,8.09735831782239e-06,2.08657447902408e-05,1.25572004171834e-05,2.36428366933387e-06,3.34080888450784e-06
"ACSBG1",3.00830203528101e-05,5.21829758259665e-06,5.70330357599916e-05,3.10376085783212e-05,1.86993344756406e-05,1.76866352709239e-06
"ACSBG2",6.58752270499492e-07,8.99706479758044e-07,1.94746951375581e-06,4.02778126588901e-06,2.14934879030351e-07,2.94777254515398e-06
"ACSF2",1.86646476641523e-05,1.7454305707306e-05,8.62450784663288e-06,2.10866195684777e-05,4.08376270157668e-06,9.62939031416967e-06
"ACSF3",4.5453906664465e-05,1.78141882992093e-05,8.34629791609634e-07,1.30310570366997e-05,1.86993344756406e-05,1.19876083502929e-05
"ACSL1",6.58752270499492e-07,8.81712350162883e-06,8.34629791609634e-07,6.32598587054332e-05,4.08376270157668e-06,5.89554509030796e-07
"ACSL3",9.0029476968264e-06,0.000131537087340626,0.000254005666579865,4.02778126588901e-06,5.37337197575878e-06,0.000170774289449254
"ACSL4",2.19584090166497e-07,1.79941295951609e-07,2.5038893748289e-06,2.36928309758177e-07,0.000343251001811471,0.000145226927391253
"ACSL5",1.86646476641523e-05,8.99706479758044e-07,1.53015461795099e-05,1.68219099928306e-05,4.51363245963738e-06,1.47388627257699e-05
"ACSL6",1.42729658608223e-05,0.000126858613645884,7.09435322868189e-05,2.72467556221903e-05,1.86993344756406e-05,2.0241371476724e-05
"ACSM1",2.19584090166497e-07,1.25958907166126e-06,1.64143859016561e-05,6.87092098298713e-06,1.07467439515176e-06,2.55473620580012e-06
"ACSM3",1.09792045083249e-06,1.79941295951609e-07,8.62450784663288e-06,1.65849816830724e-06,5.37337197575878e-06,5.30599058127716e-06
"ACSM5",1.03204522378254e-05,8.99706479758044e-07,2.5038893748289e-06,1.96650497099287e-05,6.23311149188019e-06,9.62939031416967e-06
"ACSS1",0.000115720815517744,4.138649806887e-06,8.98618075633039e-05,2.91421821002557e-05,0.000140352476006819,4.18583701411865e-05
